Standards Report,
Export Date,2026-06-23T16:49:43.871Z
Organization,Match Charter High School

Code,Standard Name,Type,Unit,Objectives Count
PRE.1.1,Pre-AP World History - Unit 1 Standard 1,content,Pre-AP World History - Unit 1,3
PRE.2.1,Pre-AP World History - Unit 2 Standard 1,content,Pre-AP World History - Unit 2,3
PRE.3.1,Pre-AP World History - Unit 3 Standard 1,content,Pre-AP World History - Unit 3,3
PRE.4.1,Pre-AP World History - Unit 4 Standard 1,content,Pre-AP World History - Unit 4,3
PRE.5.1,Pre-AP World History - Unit 5 Standard 1,content,Pre-AP World History - Unit 5,3
AP-.1.1,AP World History: Modern - Unit 1 Standard 1,content,AP World History: Modern - Unit 1,3
AP-.2.1,AP World History: Modern - Unit 2 Standard 1,content,AP World History: Modern - Unit 2,3
AP-.3.1,AP World History: Modern - Unit 3 Standard 1,content,AP World History: Modern - Unit 3,3
AP-.4.1,AP World History: Modern - Unit 4 Standard 1,content,AP World History: Modern - Unit 4,3
AP-.5.1,AP World History: Modern - Unit 5 Standard 1,content,AP World History: Modern - Unit 5,3
AP-.1.1,AP Seminar - Unit 1 Standard 1,content,AP Seminar - Unit 1,3
AP-.2.1,AP Seminar - Unit 2 Standard 1,content,AP Seminar - Unit 2,3
AP-.3.1,AP Seminar - Unit 3 Standard 1,content,AP Seminar - Unit 3,3
AP-.4.1,AP Seminar - Unit 4 Standard 1,content,AP Seminar - Unit 4,3
AP-.1.1,AP US History - Unit 1 Standard 1,content,AP US History - Unit 1,3
AP-.2.1,AP US History - Unit 2 Standard 1,content,AP US History - Unit 2,3
AP-.3.1,AP US History - Unit 3 Standard 1,content,AP US History - Unit 3,3
AP-.4.1,AP US History - Unit 4 Standard 1,content,AP US History - Unit 4,3
AP-.5.1,AP US History - Unit 5 Standard 1,content,AP US History - Unit 5,3
AP-.1.1,AP US Government & Politics - Unit 1 Standard 1,content,AP US Government & Politics - Unit 1,3
AP-.2.1,AP US Government & Politics - Unit 2 Standard 1,content,AP US Government & Politics - Unit 2,3
AP-.3.1,AP US Government & Politics - Unit 3 Standard 1,content,AP US Government & Politics - Unit 3,3
AP-.4.1,AP US Government & Politics - Unit 4 Standard 1,content,AP US Government & Politics - Unit 4,3
